iso_ts,local_ts,event,shipping,qty,tcin,store_id,zip,state
2025-11-15T21:10:42.707Z,"11/15/2025, 3:10:42 PM",OUT_OF_STOCK,OUT_OF_STOCK,0,95040142,2342,78717,TX
2025-11-15T21:21:24.951Z,"11/15/2025, 3:21:24 PM",OUT_OF_STOCK,OUT_OF_STOCK,0,95040142,2342,78717,TX
