iso_ts,local_ts,event,shipping,qty,tcin,store_id,zip,state
2025-11-15T21:53:17.074Z,"11/15/2025, 3:53:17 PM",OUT_OF_STOCK,OUT_OF_STOCK,0,95040142,2342,78717,TX
2025-11-15T22:34:47.637Z,"11/15/2025, 4:34:47 PM",OUT_OF_STOCK,OUT_OF_STOCK,0,95040142,2342,78717,TX
2025-11-15T22:35:44.853Z,"11/15/2025, 4:35:44 PM",OUT_OF_STOCK,OUT_OF_STOCK,0,95040142,2342,78717,TX
